x        C/D      err      Al/D       err     Fe/D   err Pb/D   err
0.220 1.054  0.053 1.001  0.050 1.017  0.051 1.016  0.051
0.247 1.032  0.008 1.002  0.008 1.010  0.008 0.999  0.008
0.260 1.022  0.008 0.995  0.008 1.005  0.008 0.988  0.008
0.273 1.018  0.008 0.998  0.008 1.003  0.008 0.982  0.008
0.287 1.009  0.008 0.996  0.008 0.995  0.008 0.975  0.008
0.300 1.005  0.008 0.993  0.008 0.990  0.008 0.967  0.008
0.313 1.008  0.008 0.989  0.008 0.991  0.008 0.964  0.008
0.327 1.009  0.008 0.994  0.008 0.990  0.008 0.964  0.008
0.340 1.005  0.008 0.990  0.008 0.983  0.008 0.958  0.008
0.353 0.994  0.008 0.973  0.008 0.968  0.008 0.945  0.008
0.367 0.989  0.008 0.970  0.008 0.963  0.008 0.937  0.008
0.380 0.985  0.008 0.967  0.008 0.959  0.008 0.931  0.007
0.393 0.976  0.008 0.959  0.008 0.948  0.008 0.919  0.007
0.407 0.991  0.008 0.974  0.008 0.958  0.008 0.931  0.008
0.420 0.980  0.008 0.964  0.008 0.949  0.008 0.914  0.007
0.433 0.959  0.008 0.942  0.008 0.928  0.007 0.896  0.007
0.447 0.957  0.008 0.943  0.008 0.924  0.007 0.896  0.007
0.460 0.950  0.008 0.932  0.008 0.914  0.007 0.880  0.007
0.473 0.956  0.008 0.940  0.008 0.918  0.007 0.886  0.007
0.487 0.940  0.008 0.920  0.008 0.901  0.007 0.872  0.007
0.500 0.939  0.008 0.925  0.008 0.892  0.007 0.861  0.007
0.513 0.948  0.008 0.924  0.009 0.901  0.007 0.861  0.008
0.527 0.936  0.008 0.901  0.009 0.880  0.007 0.843  0.008
0.540 0.931  0.008 0.905  0.009 0.874  0.007 0.839  0.008
0.553 0.906  0.019 0.873  0.019 0.856  0.017 0.812  0.017
0.580 0.926  0.047 0.919  0.046 0.888  0.045 0.812  0.041
