** NMC Be data
** From Nuc. Phys. B 481 (1996) 
** "The A dependence of the nuclear structure function ratios"
** all ratios are relative to carbon!!!
** norm=0.2%
**X         Q2     y     Ratio  stat     sys
0.0125	3.4	0.73	0.973	0.019	0.020
0.0175	4.5	0.69	0.978	0.016	0.016
0.0250	6.1	0.66	0.969	0.011	0.014
0.0350	8.0	0.62	0.971	0.011	0.013
0.0450	9.8	0.59	0.981	0.012	0.015
0.0550	11.6	0.57	1.000	0.013	0.013
0.0700	13.9	0.54	1.010	0.010	0.010
0.0900	16.9	0.51	1.001	0.011	0.011
0.1250	21.3	0.47	1.003	0.008	0.009
0.1750	27.4	0.43	1.0171	0.010	0.011
0.2500	35.5	0.39	0.999	0.010	0.016	
0.3500	45.3	0.35	0.983	0.016	0.026
0.4500	52.9	0.32	1.016	0.028	0.036
0.5500	58.2	0.29	0.896	0.043	0.058
**0.7000	63.9	0.25	0.986	0.071	0.089

