**Averaged over Q^2
**
**    27Al   
**  =+-0.7%  
**  x
**
0.084 -10    0     
0.094 -10    0     
0.125 1.036  0.015 
0.145 1.025  0.028  
0.205 1.015  0.013 
0.235 0.999  0.014  
0.265 1.019  0.025 
0.295 1.009  0.013  
0.325 0.975  0.020 
0.360 0.993  0.013  
0.400 0.966  0.009 
0.440 0.959  0.012  
0.480 0.934  0.010 
0.520 0.926  0.010  
0.560 0.923  0.009 
0.600 0.906  0.009  
0.640 0.892  0.009 
0.680 0.876  0.011  
0.720 0.877  0.012 
0.760 0.884  0.016  
0.800 0.957  0.025 
0.840 1.079  0.051  
0.880 1.231  0.127 
