**Averaged over Q^2
**
**     40Ca    
**  = +-0.9%   
**  x
**
0.084 -10    0     
0.094 -10    0     
0.125 -10    0     
0.145 -10    0      
0.205 1.040  0.022 
0.235 0.980  0.022  
0.265 0.995  0.041 
0.295 1.037  0.019  
0.325 0.996  0.031 
0.360 1.004  0.021  
0.400 0.966  0.012 
0.440 0.960  0.019  
0.480 0.954  0.014 
0.520 0.912  0.013  
0.560 0.915  0.012 
0.600 0.904  0.011  
0.640 0.895  0.012 
0.680 0.870  0.015  
0.720 0.880  0.018 
0.760 0.890  0.027  
0.800 0.977  0.058 
0.840 -10    0      
0.880 -10    0     

