** NMC Pb data
** From Nuc. Phys. B 481 (1996) 
** "The A dependence of the nuclear structure function ratios"
** all ratios are relative to carbon!!!
** norm=0.2%
**X         Q2     y     Ratio  stat     sys
0.0125	3.4	0.73	0.889	0.046	0.050
0.0175	4.5	0.69	0.921	0.031	0.030
0.0250	6.1	0.66	0.938	0.018	0.017
0.0350	8.0	0.62	0.962	0.016	0.012
0.0450	9.8	0.59	0.982	0.017	0.012
0.0550	11.6	0.57	1.014	0.017	0.011
0.0700	13.9	0.54	1.028	0.013	0.011
0.0900	16.9	0.51	1.010	0.014	0.010
0.1250	21.4	0.47	1.014	0.011	0.008
0.1750	27.5	0.43	1.021	0.013	0.010
0.2500	35.5	0.39	0.996	0.012	0.010
0.3500	45.3	0.35	0.973	0.021	0.015
0.4500	53.6	0.32	0.970	0.036	0.024
0.5500	60.0	0.30	0.894	0.057	0.041
**0.7000	66.1	0.26	0.810	0.069	0.088
