* HERMES He3/D data - with isoscalar correction
* X Q2 epsilon sigmaHe3/sigmaD  stat sys
0.0125  0.502    0.910  0.014 0.018
0.0175  0.655    0.962  0.012 0.018
0.0250  0.948    0.977  0.008 0.011
0.0350  1.201    0.971  0.008 0.013
0.0450  1.404    0.985  0.009 0.012
0.0550  1.644   0.990  0.009 0.013
0.0700  1.894   0.996  0.007 0.011
0.0900  2.078   1.005  0.008 0.013
0.1250  2.366   1.008  0.004 0.010
0.1750  2.835   1.017  0.004 0.011
0.2500  3.353   1.008  0.004 0.011
0.3500  2.979   1.004  0.005 0.010
