**Averaged over Q^2
**
**             4He         9Be          12C             27Al           40Ca          56Fe        108Ag           197Au 
**         = +-2.2%      +-0.7%        +-0.7%          +-0.7%      +-0.9%      +-1.0%        +-1.1%         +-2.3%
**  x
**
0.089     -10   0.00   -10   0.00   -10   0.00      -10    0.00     -10   0.00   0.999  0.019  -10   0.00       -10    0.00
0.130     1.037 0.022  1.034 0.016  -10   0.00      1.033  0.014    -10   0.00   1.041  0.014  -10   0.00       1.042  0.015 
0.140     -10   0.00   -10   0.00   -10   0.00      -10    0.00     -10   0.00   1.056  0.030  -10   0.00       -10    0.00
0.220     0.997 0.018 1.001  0.011  0.999 0.013     1.007  0.010    1.012 0.016  1.013  0.010  1.001 0.017      0.993  0.011
0.300	  1.005 0.018 1.002  0.011  1.009 0.015     1.003  0.011    1.023 0.015  0.991  0.009  1.012 0.016      0.991  0.013 
0.400	  0.975 0.017 0.967  0.008  0.977 0.009     0.972  0.008    0.973 0.011  0.956  0.008  0.975 0.012      0.937  0.008
0.500     0.949 0.016 0.957  0.009  0.944 0.010     0.930  0.008    0.935 0.010  0.911  0.007  0.912 0.011      0.904  0.009 
0.600     0.939 0.016 0.930  0.008  0.908 0.007     0.904  0.007    0.901 0.008  0.874  0.007  0.871 0.009      0.848  0.008
0.700     0.924 0.017 0.915  0.009  0.888 0.008     0.885  0.007    0.883 0.010  0.851  0.007  0.844 0.010      0.830  0.009
0.800     0.949 0.024 0.962  0.018  -10   0.00      0.975  0.018    -10   0.00   0.954  0.017  -10   0.00       0.913  0.022

