**Averaged over Q^2
**
**     4He         
**  = +-2.2%      
**  x
**
0.125 1.030  0.024 
0.145 1.054  0.039  
0.205 0.996  0.021 
0.235 0.997  0.021  
0.265 1.031  0.030 
0.295 1.004  0.020  
0.325 0.991  0.025 
0.360 0.998  0.021  
0.400 0.968  0.017 
0.440 0.949  0.019  
0.480 0.954  0.017 
0.520 0.951  0.017  
0.560 0.943  0.017 
0.600 0.928  0.017  
0.640 0.935  0.018 
0.680 0.917  0.020  
0.720 0.930  0.022 
0.760 0.949  0.025  
0.800 0.927  0.032 
0.840 0.954  0.054  
0.880 0.964  0.120 
