** NMC Be data
** From Nuc. Phys. B 481 (1996) 
** "The A dependence of the nuclear structure function ratios"
** all ratios are relative to carbon!!!
** norm=0.2%
**X         Q2     y     Ratio  stat     sys
0.0125	3.4	0.73	0.924	0.021	0.036
0.0175	4.5	0.70	0.965	0.017	0.020
0.0250	6.1	0.66	0.951	0.011	0.014
0.0350	8.1	0.63	0.977	0.011	0.014
0.0450	10.0	0.60	0.973	0.011	0.013
0.0550	11.8	0.58	0.999	0.011	0.014
0.0700	14.1	0.55	1.010	0.009	0.010
0.0900	17.1	0.52	0.981	0.009	0.011
0.1250	21.7	0.48	1.019	0.007	0.009
0.1750	27.8	0.43	0.997	0.009	0.010
0.2500	35.7	0.39	1.001	0.009	0.010
0.3500	45.4	0.35	0.990	0.014	0.015
0.4500	53.6	0.32	0.931	0.022	0.026
0.5500	60.3	0.30	0.972	0.041	0.044
**0.7000	66.6	0.26	0.965	0.063	0.069
