A,JLab E03-103,SLAC E139,CLAS,Combined
$^{3}$He,0.085 $\pm$ 0.027,-,-,0.085 $\pm$ 0.027
$^4$He,0.186 $\pm$ 0.030,0.180 $\pm$ 0.060,-,0.184 $\pm$ 0.040
$^9$Be,0.250 $\pm$ 0.032,0.209 $\pm$ 0.037,-,0.231 $\pm$ 0.034
$^{12}$C,0.264 $\pm$ 0.033,0.300 $\pm$ 0.032,0.340 $\pm$ 0.022,0.307 $\pm$ 0.028
$^{27}$Al,-,0.295 $\pm$ 0.032,0.347 $\pm$ 0.022,0.326 $\pm$ 0.026
$^{40}$Ca,-,0.322 $\pm$ 0.037,-,0.322 $\pm$ 0.037
$^{56}$Fe,-,0.359 $\pm$ 0.039,0.472 $\pm$ 0.023,0.430 $\pm$ 0.029
$^{63}$Cu,0.376 $\pm$ 0.040,-,-,0.376 $\pm$ 0.040
$^{107}$Ag,-,0.420 $\pm$ 0.040,-,0.420 $\pm$ 0.040
$^{197}$Au,0.435 $\pm$ 0.059,0.394 $\pm$ 0.038,-,0.411 $\pm$ 0.046
$^{208}$Pb,-,-,0.539 $\pm$ 0.020,0.539 $\pm$ 0.020
